 Protocol,Total Length of Fwd Packets, Total Fwd Packets, Total Backward Packets, Label
6,24,4,2,LDAP
6,12,2,2,LDAP
6,24,4,2,LDAP
6,24,4,2,LDAP
17,458,2,0,LDAP
17,458,2,0,LDAP
6,2834,31,46,LDAP
0,0,42,42,LDAP
6,52,1,1,LDAP
6,0,1,2,LDAP
6,24,4,2,LDAP
17,106,2,0,LDAP
17,106,2,0,LDAP
6,24,4,2,LDAP
6,24,4,2,LDAP
6,24,4,2,LDAP
6,24,4,2,LDAP
6,12,2,2,LDAP
0,0,18516,6,LDAP
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,422,NetBIOS
17,2,0,424,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,494,NetBIOS
17,2,0,458,NetBIOS
17,2,0,422,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,458,NetBIOS
17,2,0,834,MSSQL
17,2,0,1134,MSSQL
17,2,0,804,MSSQL
17,2,0,878,MSSQL
17,2,0,994,MSSQL
17,2,0,874,MSSQL
17,2,0,1216,MSSQL
17,2,0,892,MSSQL
17,2,0,1026,MSSQL
17,2,0,926,MSSQL
17,2,0,1052,MSSQL
17,2,0,1048,MSSQL
17,2,0,1300,MSSQL
17,2,0,850,MSSQL
17,2,0,2478,MSSQL
17,2,0,984,MSSQL
17,2,0,984,MSSQL
17,2,0,890,MSSQL
17,2,0,1068,MSSQL
17,2,0,1760,MSSQL
17,2,0,914,MSSQL
17,4,0,1458,UDP
17,4,0,1438,UDP
17,6,0,2636,UDP
17,2,0,766,UDP
17,4,0,1398,UDP
17,2,0,750,UDP
17,2,0,802,UDP
17,4,0,1398,UDP
17,6,0,2088,UDP
17,4,0,1438,UDP
17,6,0,2096,UDP
17,2,0,750,UDP
17,4,0,1438,UDP
17,2,0,970,UDP
17,2,0,750,UDP
17,4,0,1398,UDP
17,4,0,1398,UDP
17,2,0,970,UDP
17,4,0,1398,UDP
17,4,0,1398,UDP
17,2,0,776,UDP
17,2,0,458,Portmap
17,2,0,530,Portmap
17,2,0,458,Portmap
17,2,0,494,Portmap
17,2,0,458,Portmap
17,2,0,422,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,530,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,458,Portmap
17,2,0,566,Portmap
